School,G,W,L,W-L%,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,year,NCAABirth,END,Seed
Appalachian State ,32,23,9,0.719,2.49,-3.75,2530,2228,,107.6,0.375,0.274,0.571,50.6,58.4,13.8,9.9,0.539,18.6,34.3,0.266,2000,NCAA,Appalachian State ,14
Arizona ,34,27,7,0.794,18.97,9.7,2599,2284,,104.4,0.441,0.244,0.544,51.8,59.4,10.2,12.9,0.497,17.6,35.4,0.322,2000,NCAA,Arizona ,1
Arkansas ,34,19,15,0.559,12.37,7.76,2529,2372,,101,0.287,0.384,0.513,45.8,49.2,15.1,9.2,0.497,16.7,33.8,0.173,2000,NCAA,Arkansas ,11
Auburn ,34,24,10,0.706,13.59,8.2,2423,2190,,102.9,0.323,0.328,0.496,52.6,50.1,10.5,8.8,0.466,15.6,40,0.212,2000,NCAA,Auburn ,7
Ball State ,31,22,9,0.71,7.84,3.17,2300,2138,,105.1,0.37,0.292,0.532,48.9,51.3,11.8,10.4,0.512,16.3,34.6,0.227,2000,NCAA,Ball State ,11
Butler ,31,23,8,0.742,12.23,0.01,2107,1728,,105.8,0.425,0.254,0.548,52.7,57.1,11.9,8.4,0.519,16.9,33.6,0.28,2000,NCAA,Butler ,12
Central Connecticut State ,31,25,6,0.806,0.42,-9.55,2282,1973,,103.7,0.36,0.225,0.528,53.8,54.2,12.5,12.7,0.491,18.1,39.6,0.255,2000,NCAA,Central Connecticut State ,15
Cincinnati ,33,29,4,0.879,24.62,8.5,2560,2028,,110.7,0.456,0.245,0.562,53.4,57.1,10.2,16.5,0.524,16.4,37,0.32,2000,NCAA,Cincinnati ,2
Connecticut ,35,25,10,0.714,16.93,7.58,2611,2284,,109.3,0.341,0.23,0.542,53.6,55.3,9.6,11.9,0.506,17.1,41.9,0.249,2000,NCAA,Connecticut ,5
Creighton ,33,23,10,0.697,8.28,1.64,2410,2191,,108.9,0.391,0.404,0.592,51.7,62.3,11.8,6.7,0.561,19.2,31.6,0.281,2000,NCAA,Creighton ,10
Dayton ,31,22,9,0.71,9.95,3.46,2214,2013,,108.1,0.398,0.34,0.537,53.2,54.8,10.5,5.9,0.496,17.2,41.1,0.284,2000,NCAA,Dayton ,11
DePaul ,33,21,12,0.636,14.67,7.83,2387,2123,,105.6,0.339,0.291,0.531,55.6,56.3,11.8,9.8,0.504,19.3,44.5,0.226,2000,NCAA,DePaul ,9
Duke ,34,29,5,0.853,25.55,8.88,2992,2425,,115.8,0.384,0.342,0.583,50.6,55.9,12.9,11.3,0.547,15.7,37.4,0.285,2000,NCAA,Duke ,1
Florida ,37,29,8,0.784,23.48,8.51,3102,2548,,111.5,0.385,0.318,0.57,53.6,55.3,13.1,9.9,0.538,18.2,40.5,0.273,2000,NCAA,Florida ,5
